SN,Company,Vertical,Sub-vertical,Domain,Address,City,PinCode,"Founder edu: 1 others, 2: NIT, 3 : IIT, IIM, MS; ",Founder exp total,Dt of incorporation,Period wef incorporation yrs,Team no,Team tot man yrs exp,Innovation Quotion: 1-5,Awards,Awards details,"Stage: seed 1, POC 2, pilot 3, growth 4",Stage,Money Raised in M$,L Dt money recd,IP Filed/2 + Granted,No. of paid clients,Revenue Rs. Lakhs,Total Rating
84,K-nomics Techno Solutions Pvt Ltd,Education,,Education > Digital Book,"1143, 1st Floor, 6th Main Road, 7th Sector HSR Layout",Bangalore,560102,1,,30-Dec-13,7.8,3,,1,,,,,,,,,,1.2
85,Invenzo Labs India Pvt Ltd,Enterprise Solutions,SaaS,Enterprise Solution > SAAS Platform > Digital Process Automation,"SHRI KRISHNA MANSION"" 147/10, 3rd Floor, 9th Cross Sarakki Main Road, above SBI bank, 9th Cross Rd, Jeewan Sathi Colony, 1st Phase, JP Nagar,",Bangalore,560078,1,,25-Jun-15,6.3,7,,2,1,Nasscom Emerge 50 2018winners,,,,,,6,,2.1
86,Iclimb Systems India Pvt Ltd,IIOT,IIOT,IIOT > Product & Solutions,"112/301, 2nd Main
Kasturinagar",Bangalore,560065,1,26,22-Jan-16,5.7,,,2,,,3,,,,,,,3.7
87,Linkeddots Engineering Solutions Pvt Ltd,IoT Platform,IIOT,IOT > IIOT > IOT for Security,"490, 1st Cross Rd, Koramangala 8th Block, Koramangala",Bangalore,560030,1,79,30-Apr-15,6.5,6,79,2,5,Media and Magazine Coverages,,,,,,,,15.1
88,Moveinsync Technology Solutions Pvt Ltd,Transportation & Logistics,Enterprise Solutions,Transportaion > Enterprise Solution > Commute App,"4th Floor, 17th Cross Road, Sector 4, HSR Layout",Bangalore,560102,3,21,24-Jun-09,12.3,,,1,4,National Media and Magazine Coverage,4,,12,03-Apr-18,,4,,5.9
89,Yourquote Solutions Pvt Ltd,Lifestyle,,LifeStyle > App for content writing,"Jeevan Bima Nagar Main Rd, Hal, HAL 3rd Stage, New Tippasandra",Bangalore,560075,3,16,1-May-17,4.5,20,16,1,,,,,1,20-Dec-17,,,,5.0
90,Streamingo Solutions Pvt Ltd,AI,Natural Language Processing,AI > NLP > IP > Video Processing,"42, 2nd Main, Vyalikaval",Bangalore,560003,1,88,12-Jan-15,6.8,8,192,2,,,4,,,, ,,,24.1
91,Adnaks Marketing Solutions Pvt Ltd (corefactors),Marketing,"B2B/Enterprise, B2B eCommerce",Marketing > Telesales Generating,"Inspire Work Place,
#134&135, Second Floor,
LRDE Layout, Karthik Nagar, Doddanaekundi Post",Bangalore,560037,1,29,22-Aug-15,6.2,3,29,1,3,"Expert's choice by software suggest, winner hot 100 to grace, CIO marketing technology",1,Seed,,,,,,6.2
92,Rideally Travels Pvt Ltd,Transportation & Logistics,"Logistics, Transporation, Technology",Transportation > Platform to share ride,"417, 2nd Floor, 27th Main Sector-1, HSR Layout, Near ICICI Bank",Bangalore,560102,3,20,27-Mar-15,6.6,3,51,1,,,,,,,,,,6.7
93,Integration Wizards Solutions Pvt Ltd,IoT Platform,Enterprise Solutions,IOT Platform > IIOT > Enterprise Solution,"4th Floor, 217, Outer Ring Rd, East of NGEF Layout, Kasturi Nagar",Bangalore,560043,3,30,7-Jan-14,7.8,7,62,2,10,"Coverage in media, Game changer award by Deccan Herald",3,Growth,,,,,,10.0
94,Juno Tele Solution Pvt Ltd,Fintech,"B2B/Enterprise, B2B eCommerce",Fintech > Payment Gateway,"4th T Block East, Pattabhirama Nagar, Jayanagar",Bangalore,560041,1,144,21-Dec-11,9.8,6,144,2,,,4,Growth,,,,,,26.6
95,TechChefs Software Pvt Ltd,IoT Platform,Enterprise Solutions,IOT platform > Enterprise Solution > Cloud Services > Mobile App Development,"#62, 4th Floor, The High Street, 11th Main, Jayanagar 4th Block",Bangalore,560011,1,41,29-Jan-15,6.7,5,92,2,,,4,Growth,,,,,,12.2
96,Iotracx Pvt Ltd (AgroBlock),Transportation & Logistics,Agritech,Logistics > Agritech > Industrial Shipping,"107, IIIT-B Innovation Center
4th Cross Road, Electronic City Phase 1
Electronic City",Bangalore,560100,1,33,1-Dec-16,4.9,9,40,2,,,2,POC,,,,4,,8.1
97,Novigo Solutions Pvt Ltd,Enterprise Solutions,"B2B/Enterprise, B2B eCommerce",Enterprise Solution >Manufacturing process > Form And work flow,"Invenger Tower, 3rd Floor, Site No 1181, 7th Sector, HSR layout",Bangalore,560102,1,70,25-Jun-13,8.3,4,70,2,3,"Awarded Microsoft Gold Partner. Workforce risen to 150+, Won the Emerging Company of the year award at Indian Achiever's forum, Awarded for ""Best Innovative Business"" at Spandana Business Award Ceremony",4,,,,,50,,18.9
98,Coders Brain Technology Pvt Ltd,Enterprise Solutions,Enterprise Solutions,Enterprise Solutions > Business Consultant,"548, 14th Main Rd, Sector 3, HSR Layout",Bangalore,560102,,,23-Oct-15,6.0,,,,,,4,Growth,,,,30,,4.0
99,RespiCare Healing India Pvt. Ltd,Healthtech,,Healthcare > Natural Therapy,"A907, Esteem Classic Apartment, 25/2, Industrial Suburb, Behind Ravindu Toyota, 1st Stage Rajajinagar",Bangalore,560022,1,,1-Jan-13,8.8,,,1,,,4,Growth,,,,,,1.4
100,Bhsavi Cab Services Pvt Ltd (my ofiice cab),Transportation & Logistics,EnterpriseTech,Transporation > Cab Services,"No.16, Hallikara Arcade, 2nd Floor, Chunchagatta, JP Nagar 7th Phase, Konanakunte",Bangalore,560062,1,31,11-May-15,6.4,,,1,5,Coverage in national medias,1,Seed,0.6,01-Nov-16,,,,4.4
101,Loyalytics Consulting Llp,Consultancy,"B2B/Enterprise, B2B eCommerce",Consultancy > Enterprise Solution,Jakkur,Bangalore,560043,1,36,14-Aug-15,6.2,3,36,1,,,3,,,,,,,7.4
102,Data Solutions Pvt Ltd,Iot,smart city,IOT > Smart Cities > Connected Devices,"157/1, JP Classic, 3rd Floor, Silver Corporate Block 1, EPIP Phase 2, KAIDB, Whitefield",Bangalore,560066,1,19,7-Dec-12,8.9,7,,2,1,Digital Trailblazers award from the State of Karnataka for their pioneering work in the field of wearable Digital Technology for the safety and protection of the people of India,4,Growth,,,,,,4.0
103,Active Intelligence Pte Ltd,Fintech,Enterprise Solutions,Fintech > Enterprise Solution,"5th Floor, Navigator Building, ITPL, Pattandur Agrahara, Whitefield,",Bangalore,560066,1,67,16-Feb-16,5.7,91,67,1,,,4,Growth,14.8,14-Sep-20,,12,,21.6
104,Coviam Technology And Services Pvt Ltd,AI,chatbot,AI > ChatBot,"24th main,11th cross, Sector 1, HSR Layout",Bangalore,560102,,,7-Apr-15,6.5,,,2,,,,,,,,15,,2.4
105,Stylumia Intelligence Technology Pvt Ltd,AI,,AI > Fashion Technology,"No. 233, Shine on Block 2, Rahat Bagh,, C V Raman Nagar",Bangalore,560093,1,27,10-Dec-15,5.9,3,27,2,,Target cohort,3,,,,,,,6.0
106,Scientist Technologies,Smart Cities,chatbot,Smart Cities> ChatBot > Cyber Security,"We Work Galaxy, 43, Residency Rd, Shanthala Nagar, Ashok Nagar",Bangalore,560025,1,26,1-Jan-16,5.8,14,70,2,,,4,Growth,,,,5,71.14,11.7
107,CyberPact Solutions,,,,"Achhutha Enclave, Nagarbhavi",Bangalore,560079,1,18,1-Jan-19,2.8,4,,1,,,4,Growth,,,,10,,3.9
108,Ak Consults (Campus Live),AR/VR,Computer vision,AR/VR > Education ,"346/36, 7th Main Road, 2nd Block Jayanagar",Bangalore,560011,1,7,1-Mar-15,6.6,2,14,2,,,1,Seed,,,,,,2.9
109,Yostra Labs Pvt Ltd,Healthtech,"ADAS, Embedded, and IOT",HealthTech > Device > Diabetics Monitoring,"Bangalore Bioinnovation Centre (BBC) Bangalore Helix, Electronics City Phase 1, Biotech Park,",Bangalore,560100,1,68,4-Aug-14,7.2,9,93,2,,,4,Growth,215.362,08-Dec-17,,,,36.9
110,Thinkerbell Labs Pvt Ltd,Healthtech,"ADAS, Embedded, and IOT",HealthTech > Brile Device ,"262, 6TH MAIN ROAD
STAGE 2, BTM LAYOUT",Bangalore,560076,1,11,10-Jun-16,5.4,9,28,2,9,"Winner, Great Tech Rocketships, 2016 - Department of International Trade, UK Gov
Winner, 500K BIZ Launchpad - Deshpande Foundation (given out by Mr. Narayan Murthy)
Winner, Dell Startup Challenge
Winner at London Acumen Pitch Event
Top 2 startups at the VILCAP accelerator, Coverage in National and International Media",4,Growth,187.72,26-Jul-17,,,,24.3
111,Ecostp Technologies Pvt Ltd,Environmental,Cleantech,Environmental > CleanTech > Water Purification,"Brigade Real Estate Accelerator Program,
Brigade Gateway Campus, Malleswaram - Rajajinagar",Bangalore,560055,3,75,5-Sep-17,4.1,4,75,2,,,3,Paid POC,,,,,,14.2
112,City Surveillance Services Pvt Ltd,Security,Computer vision,Security > Computer Vision > Surveillance,"W202, 1st Floor, IIITB, 
Electronic city, Phase 1",Bangalore,560100,1,30,5-Dec-16,4.9,3,30,1,,,4,Growth,,,,,,6.4
113,VresQ Systems & Systems,,"ADAS, Embedded, and IOT",Embedded Solutions,"KHM Block, Ganganagar, RT nagar Post",Bangalore,560032,,,1-Jan-16,5.8,,,1,,,,,,,,5,,1.2
